代號,名稱,市場,成交量,2026-03-02 收盤,2026-03-11 收盤,漲幅 %
2013,中鋼構,上市,270883,43.15,44.35,2.78
2906,高林,上市,333475,12.6,12.95,2.78
5292,華懋,上市,271418,180.0,185.0,2.78
6108,競國,上市,380853,15.25,15.65,2.62
2731,雄獅,上市,983853,172.0,176.5,2.62
1236,宏亞,上市,137534,27.45,28.15,2.55
6933,AMAX-KY,上市,307176,138.5,142.0,2.53
3714,富采,上市,11325254,38.75,39.7,2.45
9941,裕融,上市,1631550,74.3,76.1,2.42
2613,中櫃,上市,738203,25.25,25.85,2.38
7750,新代,上市,367088,1280.0,1310.0,2.34
8261,富鼎,上市,4242430,98.8,101.0,2.23
9933,中鼎,上市,7908619,31.6,32.3,2.22
2520,冠德,上市,1906901,32.05,32.75,2.18
3022,威強電,上市,633868,60.7,62.0,2.14
6505,台塑化,上市,49283824,56.5,57.7,2.12
2477,美隆電,上市,334322,24.0,24.5,2.08
2015,豐興,上市,735907,68.4,69.8,2.05
5519,隆大,上市,714906,32.2,32.85,2.02
1711,永光,上市,20352250,27.2,27.75,2.02
6902,GOGOLOOK,上市,115723,75.0,76.5,2.0
3209,全科,上市,1663162,35.75,36.45,1.96
2353,宏碁,上市,55414138,27.1,27.6,1.85
6534,正瀚-創,上市,152307,81.2,82.7,1.85
6531,愛普*,上市,2737156,433.5,441.5,1.85
2636,台驊控股,上市,1019215,66.4,67.6,1.81
6944,兆聯實業,上市,829913,730.0,743.0,1.78
2453,凌群,上市,916988,53.0,53.9,1.7
6670,復盛應用,上市,270141,271.5,276.0,1.66
1218,泰山,上市,1448977,18.15,18.45,1.65
1808,潤隆,上市,1951808,30.45,30.95,1.64
1304,台聚,上市,13302122,12.25,12.45,1.63
1712,興農,上市,1016081,46.4,47.15,1.62
9926,新海,上市,1031287,49.9,50.7,1.6
6831,邁科,上市,630324,287.5,292.0,1.57
4736,泰博,上市,284917,127.0,129.0,1.57
3338,泰碩,上市,1120735,58.0,58.9,1.55
1611,中電,上市,1797916,13.2,13.4,1.52
2609,陽明,上市,29795534,60.0,60.9,1.5
6625,必應,上市,326611,80.8,82.0,1.49
1734,杏輝,上市,400802,30.65,31.1,1.47
2387,精元,上市,1748613,43.4,44.0,1.38
3004,豐達科,上市,356711,111.0,112.5,1.35
2302,麗正,上市,1930385,18.65,18.9,1.34
2548,華固,上市,1569223,114.5,116.0,1.31
8070,長華*,上市,2276382,42.6,43.15,1.29
